[INFO] 2025-07-03 17:14:14,426 - django.utils.autoreload: Watching for file changes with StatReloader
[INFO] 2025-07-03 17:14:25,732 - django.server: "GET /admin/expenses/expenseform/ HTTP/1.1" 200 18028
[INFO] 2025-07-03 17:14:25,749 - django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-07-03 17:18:37,375 - django.server: "GET /admin/expenses/expensetitle/ HTTP/1.1" 200 14854
[INFO] 2025-07-03 17:18:37,398 - django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-07-03 17:18:49,052 - django.server: "GET /api/csrf-token/ HTTP/1.1" 200 81
[INFO] 2025-07-03 17:18:49,364 - django.server: "OPTIONS /api/token/ HTTP/1.1" 200 0
[INFO] 2025-07-03 17:18:49,609 - django.server: "POST /api/token/ HTTP/1.1" 200 52
[INFO] 2025-07-03 17:18:49,620 - django.server: "OPTIONS /api/expense-titles/ HTTP/1.1" 200 0
[INFO] 2025-07-03 17:18:49,626 - django.server: "OPTIONS /api/expense-titles/ HTTP/1.1" 200 0
[INFO] 2025-07-03 17:18:49,626 - django.server: "OPTIONS /api/expense-forms/ HTTP/1.1" 200 0
[INFO] 2025-07-03 17:18:49,629 - django.server: "OPTIONS /api/expense-forms/ HTTP/1.1" 200 0
[INFO] 2025-07-03 17:18:49,655 - django.server: "GET /api/expense-titles/ HTTP/1.1" 200 773
[INFO] 2025-07-03 17:18:49,682 - django.server: "GET /api/expense-titles/ HTTP/1.1" 200 773
[INFO] 2025-07-03 17:18:50,118 - expenses.services.onedrive_service: Token cache saved successfully
[INFO] 2025-07-03 17:18:50,558 - expenses.services.onedrive_service: File URL retrieved for billing_uploads/Vancouver trip/cdc.jpg
[INFO] 2025-07-03 17:18:50,561 - expenses.services.onedrive_service: Token cache saved successfully
[INFO] 2025-07-03 17:18:50,777 - expenses.services.onedrive_service: File URL retrieved for billing_uploads/Vancouver trip/cdc.jpg
[INFO] 2025-07-03 17:18:50,798 - expenses.services.onedrive_service: Token cache saved successfully
